year,jday,tmin,tmax,rain,rad
1,1,17.7,30.0,0.2,0.4
1,2,17.7,29.1,2.9,0.5
1,3,18.6,30.5,0.2,0.5
1,4,20.2,27.6,2.5,1.1
1,5,18.3,31.3,0.0,0.7
1,6,17.3,32.4,0.0,0.5
1,7,19.6,30.7,2.1,0.4
1,8,17.8,32.4,49.6,0.7
1,9,19.5,32.6,0.0,1.1
1,10,17.9,31.9,11.6,1.0
1,11,20.6,27.8,0.2,1.0
1,12,18.5,29.9,0.2,0.5
1,13,17.9,28.7,0.2,0.5
1,14,20.3,32.8,0.2,0.4
1,15,19.0,27.5,0.4,0.7
1,16,18.3,27.8,0.7,0.8
1,17,17.7,27.2,0.0,0.8
1,18,17.5,30.8,0.0,0.7
1,19,19.7,29.0,0.2,0.9
1,20,17.9,28.1,0.2,0.6
1,21,18.0,30.7,0.0,0.7
1,22,20.5,31.0,0.0,1.1
1,23,18.2,30.8,0.0,0.7
1,24,19.4,29.5,0.0,0.7
1,25,18.5,29.3,0.0,0.9
1,26,18.5,30.8,0.0,1.4
1,27,18.8,30.1,0.0,1.5
1,28,18.4,33.3,11.5,0.8
1,29,18.8,31.1,0.0,0.6
1,30,14.7,30.9,0.0,0.7
1,31,17.9,31.1,0.0,0.7
1,32,18.3,32.6,0.0,1.1
1,33,19.3,29.0,0.0,0.7
1,34,18.4,30.7,0.0,0.6
1,35,19.0,32.0,0.0,0.7
1,36,18.3,30.5,0.0,0.6
1,37,17.8,31.5,0.0,0.9
1,38,18.5,32.6,0.0,0.6
1,39,15.5,32.0,0.0,0.6
1,40,19.1,32.7,0.0,1.3
1,41,18.1,29.7,0.0,0.7
1,42,14.6,32.0,0.0,1.3
1,43,17.0,30.9,0.0,1.1
1,44,19.0,30.8,0.0,1.0
1,45,19.6,32.4,0.0,1.1
1,46,17.3,33.3,0.0,0.6
1,47,17.8,32.1,0.0,0.6
1,48,14.9,30.4,0.0,1.1
1,49,19.5,31.7,0.0,0.6
1,50,17.6,28.0,0.0,0.6
1,51,16.9,33.7,0.0,0.6
1,52,18.8,31.8,0.0,0.7
1,53,18.1,30.3,0.0,1.0
1,54,18.9,30.5,0.0,1.0
